Gene,Coordinates
TP53,17:7668421-7687490
EGFR,7:55019017-55211628
TNF,6:31575565-31578336
APOE,19:44905796-44909393
VEGFA,6:43770209-43786487
IL6,7:22725889-22732002
TGFB1,19:41330323-41353922
MTHFR,1:11785723-11806103
ERBB2,17:39688094-39728660
ESR1,6:151654148-152129619
HIF1A,14:61695513-61748259
IL10,1:206767602-206772494
ACE,17:63477061-63498373
APP,21:25880550-26171128
BRCA1,17:43044295-43125364
MMP9,20:46008908-46016561
ADIPOQ,3:186842710-186858463
STAT3,17:42313324-42388502
ABCB1,7:87503017-87713295
CRP,1:159712289-159714589
AR,X:67544021-67730619
HLA-DRB1,6:32578775-32589848
BDNF,11:27654893-27722030
AKT1,14:104769349-104795748
KRAS,12:25205246-25250929
BRAF,7:140713328-140924929
NFKB1,4:102501266-102617302
VDR,12:47841537-47905022
LOC110806262,17:30235481-30237521
IL1B,2:112829751-112836843
CDKN2A,9:21967752-21995324
PTGS2,1:186671791-186680423
PTEN,10:87863625-87971930
CTNNB1,3:41199422-41240445
TLR4,9:117704403-117724735
NOS3,7:150991017-151014588
COMT,22:19941772-19969975
CFTR,7:117480025-117668665
CXCL8,4:73740569-73743716
PPARG,3:12287368-12434344
SLC6A4,17:30194319-30235697
SNCA,4:89724099-89838324
TERT,5:1253167-1295068
MYC,8:127735434-127742951
HLA-B,6:31353875-31357179
MAPT,17:45894538-46028334
CDH1,16:68737292-68835537
MTOR,1:11106535-11273497
IGF1,12:102395860-102481839
BCL2,18:63123346-63320280
LEP,7:128241201-128257629
CD274,9:5450542-5470554
GSTM1,1:109687817-109693745
CXCR4,2:136114349-136118149
IFNG,12:68154768-68159740
BRCA2,13:32315508-32400268
MDM2,12:68808149-68850686
JAK2,9:4984390-5129948
MMP2,16:55478830-55506691
CD4,12:6789528-6820799
MAPK1,22:21759657-21867680
CCND1,11:69641156-69654474
SERPINE1,7:101127104-101139247
PON1,7:95297676-95324532
CCR5,3:46370142-46376206
CCL2,17:34255285-34257203
CDKN1A,6:36676463-36687332
IL17A,6:52186375-52190638
BIRC5,17:78214253-78225635
NPPB,1:11857464-11858945
NFE2L2,2:177230303-177265131
PIK3CA,3:179148114-179240093
SOD1,21:31659693-31668931
GSTP1,11:67583812-67586653
TLR2,4:153684080-153710643
MIR21,17:59841266-59841337
F2,11:46719213-46739506
CD44,11:35139168-35232402
CTLA4,2:203867771-203873965
NOTCH1,9:136494433-136546048
SIRT1,10:67884656-67918390
MET,7:116672196-116798386
CXCL12,10:44292088-44385097
ATM,11:108222484-108369102
HLA-A,6:29942532-29945870
DRD2,11:113409605-113475398
F5,1:169511951-169586630
HLA-DQB1,6:32659467-32666657
HMGB1,13:30456704-30617597
HFE,6:26087347-26098343
NR3C1,5:143277931-143435512
KIT,4:54657957-54740715
XRCC1,19:43543311-43575527
CYP2D6,22:42126499-42130810
CYP2C19,10:94762681-94855547
RELA,11:65653601-65662946
HMOX1,22:35381096-35394207
ADRB2,5:148826611-148828623
ICAM1,19:10271120-10286615
SPP1,4:87975714-87983411
FAS,10:88968429-89017059
ESR2,14:64226707-64338631
FOXP3,X:49250436-49264932
IL18,11:112143251-112164104
EZH2,7:148807374-148884344
RB1,13:48303751-48481890
HLA-G,6:29826474-29831130
LRRK2,12:40224890-40369285
GSK3B,3:119821321-120095823
MAPK14,6:36027711-36122964
IL4,5:132673989-132682678
APOA1,11:116835751-116837950
VWF,12:5948877-6124670
AGT,1:230702523-230745583
IGF1R,15:98648539-98964530
AGER,6:32180969-32184380
SRC,20:37344690-37406050
RET,10:43077069-43130351
GHRL,3:10285666-10292947
PARP1,1:226360691-226408093
GJB2,13:20187470-20192938
ITGB1,10:32900318-32958230
CAV1,7:116525009-116561185
ITGB3,17:47253827-47313743
NOD2,16:50693587-50733077
CASP3,4:184627696-184649447
MLH1,3:36993487-37050846
INS,11:2159779-2161209
PRNP,20:4686456-4701588
CYP1A1,15:74719542-74725528
FTO,16:53703963-54121941
PDCD1,2:241849881-241858908
MUC1,1:155185824-155192915
SOD2,6:159669069-159762281
EDN1,6:12256463-12297194
MBL2,10:52765380-52772784
SLC6A3,5:1392794-1445440
ABCG2,4:88090264-88231626
SP1,12:53380176-53416446
MAPK3,16:30114105-30123309
RAC1,7:6374527-6403967
LGALS3,14:55129252-55145430
MMP1,11:102789919-102798160
CDKN1B,12:12717368-12722369
CYP2C9,10:94938658-94990091
HBB,11:5225464-5227071
APC,5:112707498-112846239
TP63,3:189596746-189897276
TNFSF10,3:172505508-172523430
AGTR1,3:148697903-148743003
KDR,4:55078481-55125595
JUN,1:58780791-58784047
IL1RN,2:113099365-113134016
LCN2,9:128149453-128153453
CFH,1:196652033-196747504
BAX,19:48954825-48961798
APOB,2:21001429-21044073
LMNA,1:156082573-156140081
YAP1,11:102109957-102233424
CYP3A4,7:99756967-99784184
MIF,22:23894383-23895223
CYP19A1,15:51208057-51338596
PTK2,8:140657900-141002079
HBB-LCR,11:5269925-5304186
LDLR,19:11089432-11133820
MGMT,10:129467241-129770983
IDH1,2:208236227-208255071
ALK,2:29190992-29921589
RHOA,3:49359145-49411976
MKI67,10:128096659-128126423
UGT1A1,2:233760270-233773300
PRKN,6:161347417-162727802
TNFRSF11B,8:118923557-118951885
PSEN1,14:73136436-73223691
CD14,5:140631732-140633701
HLA-C,6:31268749-31272092
HGF,7:81699006-81770438
WT1,11:32387775-32435539
MIR146A,5:160485352-160485450
EP300,22:41092592-41180077
NLRP3,1:247416163-247448823
FLT3,13:28003274-28100587
F8,X:154835792-155022723
NOS2,17:27756766-27800529
COL1A1,17:50184096-50201649
ABCA1,9:104781006-104928232
FGF2,4:122826708-122898236
TARDBP,1:11012654-11030528
VHL,3:10141778-10153667
STAT1,2:190968989-191014197
FMR1,X:147911919-147951125
IL1A,2:112773925-112784493
SCN5A,3:38548061-38649687
TCF7L2,10:112950247-113167678
KCNH2,7:150944956-150978321
LPL,8:19939253-19967259
NPM1,5:171387116-171410900
TTR,18:31591877-31598821
IFNL3,19:39243553-39245077
MECP2,X:154021573-154097717
DRD4,11:637269-640706
HSP90AA1,14:102080742-102139749
ERCC2,19:45349837-45370647
HBA1,16:176680-177522
SERPINA1,14:94376747-94390654
HTR2A,13:46831546-46898082
PGR,11:101029624-101130681
MIR155,21:25573980-25574044
FN1,2:215360862-215436167
CASP8,2:201233443-201287711
MAPK8,10:48306673-48439360
NAT2,8:18386585-18401219
ALB,4:73404287-73421482
HTT,4:3074681-3243960
IL2,4:122451470-122456725
CETP,16:56961950-56983845
TLR9,3:52221080-52225645
ALDH2,12:111766933-111817532
PRKCA,17:66302613-66810743
RUNX1,21:34787801-35049334
ABL1,9:130713881-130887675
PTPN11,12:112418915-112509918
HRAS,11:532242-535576
FLT1,13:28300346-28495128
MSH2,2:47403067-47634501
EGF,4:109912883-110013766
UBC,12:124911646-124914650
MPO,17:58269855-58280935
CST3,20:23626706-23637955
AURKA,20:56369390-56392308
HDAC1,1:32292083-32333628
F3,1:94529173-94541759
GJA1,6:121435646-121449727
MMP3,11:102835801-102843609
PPARGC1A,4:23792021-24472905
ERCC1,19:45407334-45451547
CYP3A5,7:99648194-99679996
MAOA,X:43655006-43746817
RETN,19:7669049-7670455
E2F1,20:33675477-33686385
LEPR,1:65420652-65641559
IGF2,11:2129112-2149603
HSPA5,9:125234853-125241343
OPRM1,6:154010496-154246867
CCL5,17:35871491-35880360
SLC2A1,1:42925353-42958868
FGF23,12:4368227-4379712
IGFBP3,7:45912245-45921272
MCL1,1:150574558-150579610
FGFR2,10:121478330-121598458
